"Date","Impressions","Installations"
"2016-03-25","",""
"2016-03-26","",""
"2016-03-27","",""
"2016-03-28","",""
"2016-03-29","",""
"2016-03-30","",""
"2016-03-31","",""
"2016-04-01","",""
"2016-04-02","",""
"2016-04-03","",""
"2016-04-04","",""
"2016-04-05","",""
"2016-04-06","",""
"2016-04-07","",""
"2016-04-08","",""
"2016-04-09","",""
"2016-04-10","",""
"2016-04-11","",""
"2016-04-12","",""
"2016-04-13","",""
"2016-04-14","",""
"2016-04-15","",""
"2016-04-16","",""
"2016-04-17","",""
"2016-04-18","",""
"2016-04-19","",""
"2016-04-20","",""
"2016-04-21","",""
"2016-04-22","",""
"2016-04-23","",""
"2016-04-24","",""
"2016-04-25","",""
"2016-04-26","",""
"2016-04-27","",""
"2016-04-28","",""
"2016-04-29","",""
"2016-04-30","",""
"2016-05-01","",""
"2016-05-02","",""
"2016-05-03","",""
"2016-05-04","",""
"2016-05-05","",""
"2016-05-06","",""
"2016-05-07","",""
"2016-05-08","",""
"2016-05-09","",""
"2016-05-10","",""
"2016-05-11","",""
"2016-05-12","",""
"2016-05-13","",""
"2016-05-14","",""
"2016-05-15","",""
"2016-05-16","",""
"2016-05-17","",""
"2016-05-18","6.0","1.0"
"2016-05-19","25.0","1.0"
"2016-05-20","19.0","0.0"
"2016-05-21","9.0","0.0"
"2016-05-22","18.0","0.0"
"2016-05-23","25.0","1.0"
"2016-05-24","14.0","0.0"
"2016-05-25","11.0","0.0"
"2016-05-26","9.0","0.0"
"2016-05-27","10.0","0.0"
"2016-05-28","17.0","1.0"
"2016-05-29","10.0","0.0"
"2016-05-30","32.0","1.0"
"2016-05-31","16.0","0.0"
"2016-06-01","30.0","1.0"
"2016-06-02","11.0","2.0"
"2016-06-03","9.0","0.0"
"2016-06-04","4.0","1.0"
"2016-06-05","8.0","0.0"
"2016-06-06","4.0","0.0"
"2016-06-07","5.0","0.0"
"2016-06-08","8.0","0.0"
"2016-06-09","9.0","1.0"
"2016-06-10","13.0","0.0"
"2016-06-11","1.0","0.0"
"2016-06-12","9.0","1.0"
"2016-06-13","12.0","1.0"
"2016-06-14","11.0","0.0"
"2016-06-15","11.0","0.0"
"2016-06-16","9.0","0.0"
"2016-06-17","5.0","0.0"
"2016-06-18","7.0","1.0"
"2016-06-19","5.0","1.0"
"2016-06-20","6.0","0.0"
"2016-06-21","6.0","0.0"
"2016-06-22","11.0","1.0"
"2016-06-23","4.0","0.0"
