"Date","Impressions","Installations"
"2016-03-25","454.0","5.0"
"2016-03-26","377.0","6.0"
"2016-03-27","397.0","7.0"
"2016-03-28","462.0","7.0"
"2016-03-29","470.0","4.0"
"2016-03-30","478.0","9.0"
"2016-03-31","447.0","8.0"
"2016-04-01","494.0","7.0"
"2016-04-02","399.0","4.0"
"2016-04-03","462.0","8.0"
"2016-04-04","455.0","4.0"
"2016-04-05","490.0","5.0"
"2016-04-06","526.0","2.0"
"2016-04-07","448.0","4.0"
"2016-04-08","490.0","4.0"
"2016-04-09","406.0","9.0"
"2016-04-10","404.0","3.0"
"2016-04-11","464.0","6.0"
"2016-04-12","472.0","7.0"
"2016-04-13","662.0","6.0"
"2016-04-14","1551.0","9.0"
"2016-04-15","1626.0","9.0"
"2016-04-16","1520.0","7.0"
"2016-04-17","1535.0","7.0"
"2016-04-18","1735.0","15.0"
"2016-04-19","1826.0","8.0"
"2016-04-20","1841.0","12.0"
"2016-04-21","2165.0","10.0"
"2016-04-22","2223.0","13.0"
"2016-04-23","2089.0","9.0"
"2016-04-24","2216.0","15.0"
"2016-04-25","2646.0","7.0"
"2016-04-26","2910.0","14.0"
"2016-04-27","2795.0","7.0"
"2016-04-28","2937.0","14.0"
"2016-04-29","2917.0","14.0"
"2016-04-30","2569.0","9.0"
"2016-05-01","2610.0","10.0"
"2016-05-02","3228.0","11.0"
"2016-05-03","3713.0","12.0"
"2016-05-04","3676.0","12.0"
"2016-05-05","3454.0","17.0"
"2016-05-06","3429.0","6.0"
"2016-05-07","3076.0","15.0"
"2016-05-08","3205.0","8.0"
"2016-05-09","4265.0","15.0"
"2016-05-10","4730.0","20.0"
"2016-05-11","4547.0","14.0"
"2016-05-12","4941.0","18.0"
"2016-05-13","4623.0","11.0"
"2016-05-14","4190.0","10.0"
"2016-05-15","4331.0","25.0"
"2016-05-16","5144.0","30.0"
"2016-05-17","5068.0","18.0"
"2016-05-18","5116.0","24.0"
"2016-05-19","4926.0","26.0"
"2016-05-20","5092.0","28.0"
"2016-05-21","4573.0","11.0"
"2016-05-22","4865.0","16.0"
"2016-05-23","5761.0","16.0"
"2016-05-24","6221.0","31.0"
"2016-05-25","5832.0","38.0"
"2016-05-26","6073.0","24.0"
"2016-05-27","5272.0","21.0"
"2016-05-28","4952.0","20.0"
"2016-05-29","5297.0","17.0"
"2016-05-30","5576.0","33.0"
"2016-05-31","6034.0","37.0"
"2016-06-01","6340.0","23.0"
"2016-06-02","6276.0","15.0"
"2016-06-03","6025.0","25.0"
"2016-06-04","5535.0","19.0"
"2016-06-05","5681.0","16.0"
"2016-06-06","6068.0","21.0"
"2016-06-07","6116.0","28.0"
"2016-06-08","6563.0","26.0"
"2016-06-09","6567.0","29.0"
"2016-06-10","5561.0","25.0"
"2016-06-11","5716.0","26.0"
"2016-06-12","5757.0","29.0"
"2016-06-13","6054.0","28.0"
"2016-06-14","6313.0","26.0"
"2016-06-15","6362.0","21.0"
"2016-06-16","6474.0","36.0"
"2016-06-17","5877.0","29.0"
"2016-06-18","5937.0","32.0"
"2016-06-19","6042.0","30.0"
"2016-06-20","6576.0","25.0"
"2016-06-21","6700.0","30.0"
"2016-06-22","6505.0","39.0"
"2016-06-23","6652.0","24.0"
